first_name,last_name,email,gender,ip_address,Credit_Card_Type,item_watched,item_bought,country,city,phone,facebook_username
Collen,Gumby,cgumby0@sphinn.com,Female,154.10.14.15,maestro,Industrial,Games,Latvia,Baldone,716-604-2647,cgumby0
Launce,Rau,lrau1@rediff.com,Male,119.157.3.138,visa,Health,Health,France,Brétigny-sur-Orge,830-306-0706,lrau1
Roi,Figin,rfigin2@google.fr,Male,31.159.229.222,americanexpress,Tools,Computers,Ethiopia,Gebre Guracha,864-835-5939,rfigin2
Ebony,Bowmer,ebowmer3@berkeley.edu,Female,227.111.156.140,instapayment,Clothing,Electronics,China,Tiexi,558-563-4953,ebowmer3
Titos,Parry,tparry4@sciencedaily.com,Male,210.17.185.241,jcb,Health,Baby,China,Qiaotou,317-940-6415,tparry4
Halette,Nabarro,hnabarro5@unc.edu,Female,209.33.175.170,jcb,Industrial,Sports,Philippines,Balangiga,825-933-6159,hnabarro5
Mort,Sheed,msheed6@cisco.com,Male,145.21.49.100,china-unionpay,Jewelery,Garden,Norway,Skien,238-643-9721,msheed6
Luce,Brassington,lbrassington7@mapy.cz,Male,102.116.1.140,jcb,Grocery,Clothing,Brazil,Nova Venécia,955-180-8352,lbrassington7
Pippo,Perchard,pperchard8@feedburner.com,Male,178.130.59.221,instapayment,Home,Automotive,China,Taozhuang,981-304-0648,pperchard8
Nat,Chern,nchern9@bluehost.com,Male,98.250.213.19,visa-electron,Games,Clothing,Sweden,Strängnäs,355-405-9723,nchern9
Thayne,Cottom,tcottoma@umn.edu,Male,142.41.8.245,china-unionpay,Shoes,Clothing,Brazil,Avaré,580-875-7815,tcottoma
Irma,Balding,ibaldingb@amazon.co.jp,Female,123.243.230.77,americanexpress,Clothing,Garden,Dominican Republic,Jaquimeyes,657-511-8359,ibaldingb
Hallsy,Jubert,hjubertc@kickstarter.com,Male,100.171.112.97,maestro,Computers,Automotive,Panama,Sioguí Arriba,328-358-0191,hjubertc
Grethel,Geall,ggealld@craigslist.org,Female,128.113.126.190,jcb,Tools,Jewelery,Russia,Vologda,421-615-2844,ggealld
Bernice,Rissom,brissome@cam.ac.uk,Female,30.227.116.32,switch,Outdoors,Home,Bosnia and Herzegovina,Balatun,462-722-7740,brissome
Maryellen,Kristoffersson,mkristofferssonf@hhs.gov,Female,136.173.158.95,bankcard,Games,Books,Paraguay,San Cosme y Damián,655-220-6385,mkristofferssonf
Krista,Francais,kfrancaisg@xrea.com,Female,237.39.216.7,switch,Home,Movies,Indonesia,Kembangkerang Lauk Timur,330-948-9022,kfrancaisg
Neal,Bidwell,nbidwellh@xrea.com,Male,250.199.116.133,jcb,Electronics,Shoes,Philippines,Calauan,570-661-6727,nbidwellh
Vivienne,Dorney,vdorneyi@digg.com,Female,79.82.153.90,jcb,Home,Electronics,United States,Anniston,256-464-1072,vdorneyi
Izzy,Leadston,ileadstonj@google.com,Male,209.215.8.34,jcb,Sports,Health,Vietnam,Ngã Bảy,641-558-8119,ileadstonj
Roxanna,Bartali,rbartalik@stumbleupon.com,Female,211.150.79.4,visa-electron,Baby,Shoes,China,Loudi,431-335-6490,rbartalik
Artair,Moine,amoinel@bbc.co.uk,Male,75.191.115.204,maestro,Computers,Tools,Guatemala,San Luis Jilotepeque,840-852-8752,amoinel
Peadar,Tenant,ptenantm@mlb.com,Male,89.14.63.5,diners-club-carte-blanche,Computers,Toys,China,Xinzhai,749-809-8713,ptenantm
Brannon,Richardin,brichardinn@go.com,Male,9.7.135.123,mastercard,Books,Shoes,Spain,Ourense,383-764-0694,brichardinn
Gayla,Salzberg,gsalzbergo@goo.ne.jp,Female,242.170.154.10,bankcard,Home,Outdoors,Peru,Sitabamba,971-452-4375,gsalzbergo
Luigi,Portch,lportchp@fda.gov,Male,9.182.90.137,mastercard,Home,Kids,Belarus,Kobryn,779-187-1129,lportchp
Lamond,Delieu,ldelieuq@shutterfly.com,Male,17.154.180.95,jcb,Shoes,Toys,China,Luodian,899-492-5313,ldelieuq
Jehanna,Caser,jcaserr@fc2.com,Female,73.177.20.135,visa-electron,Home,Jewelery,Taiwan,Hualian,936-998-5604,jcaserr
Sadella,Chalfain,schalfains@reuters.com,Female,208.176.12.240,switch,Movies,Books,Peru,Mendoza,610-728-2488,schalfains
Morty,Daspar,mdaspart@ezinearticles.com,Male,59.165.124.123,americanexpress,Baby,Automotive,Argentina,Dalmacio Vélez Sársfield,730-240-1134,mdaspart
Lambert,Verrechia,lverrechiau@marketwatch.com,Male,224.40.71.49,china-unionpay,Electronics,Beauty,Pakistan,Baddomalhi,432-951-1482,lverrechiau
Alanson,Crottagh,acrottaghv@imgur.com,Male,157.214.137.187,jcb,Garden,Outdoors,Dominican Republic,Pimentel,646-914-5325,acrottaghv
Genvieve,Landell,glandellw@seesaa.net,Female,130.155.138.113,jcb,Kids,Outdoors,Palestinian Territory,Al Fukhkhārī,568-228-0043,glandellw
Erika,Claybourn,eclaybournx@dot.gov,Female,165.177.35.5,diners-club-carte-blanche,Games,Games,Russia,Iznoski,887-793-8377,eclaybournx
Rubia,Rotham,rrothamy@harvard.edu,Female,96.215.158.26,visa-electron,Computers,Books,Colombia,Combita,184-334-5372,rrothamy
Lissa,Alibone,lalibonez@flickr.com,Female,68.243.64.186,jcb,Electronics,Games,Serbia,Sremčica,811-521-8680,lalibonez
Al,Pendall,apendall10@nih.gov,Male,154.153.231.84,americanexpress,Tools,Industrial,Pakistan,Shikārpur,325-764-8189,apendall10
