first_name,last_name,email,gender,ip_address,Credit_Card_Type,item_watched,item_bought,country,city,phone,facebook_username
Robinett,Chatburn,rchatburn0@eepurl.com,Female,8.28.101.231,bankcard,Toys,Clothing,Argentina,Molinos,971-125-1170,rchatburn0
Ailene,O'Carney,aocarney1@prlog.org,Female,110.129.23.136,diners-club-carte-blanche,Health,Outdoors,China,Dongxiaokou,749-157-6073,aocarney1
Hort,Buddleigh,hbuddleigh2@surveymonkey.com,Male,157.92.189.237,bankcard,Toys,Tools,Honduras,Talanga,502-794-2402,hbuddleigh2
Denise,Halksworth,dhalksworth3@mysql.com,Female,115.128.9.159,jcb,Sports,Computers,Malaysia,Alor Setar,355-808-3418,dhalksworth3
Woody,Drife,wdrife4@berkeley.edu,Male,83.36.96.210,china-unionpay,Home,Shoes,Denmark,København,261-491-7962,wdrife4
Jordan,Gladtbach,jgladtbach5@quantcast.com,Male,219.114.198.66,switch,Automotive,Outdoors,Indonesia,Jatinagara,962-168-2538,jgladtbach5
Evangelia,Sinyard,esinyard6@free.fr,Female,24.218.20.121,diners-club-enroute,Games,Baby,United States,Corona,951-235-8005,esinyard6
Glen,Cadd,gcadd7@globo.com,Female,35.23.29.24,jcb,Beauty,Books,Indonesia,Sambong,885-373-6658,gcadd7
Michelina,Kantor,mkantor8@elpais.com,Female,254.90.119.111,americanexpress,Tools,Automotive,Argentina,Anguil,397-430-0554,mkantor8
Janice,Human,jhuman9@chronoengine.com,Female,27.95.54.22,jcb,Automotive,Health,China,Luodong,755-354-4613,jhuman9
Emmy,Simister,esimistera@ucoz.com,Male,0.85.106.115,maestro,Electronics,Garden,Peru,Salas,229-814-4161,esimistera
Yoshi,Way,ywayb@vk.com,Female,71.76.51.35,solo,Outdoors,Books,Cuba,Guantánamo,338-909-5540,ywayb
Euell,Caurah,ecaurahc@google.co.uk,Male,78.60.251.230,jcb,Electronics,Tools,Russia,Lyublino,785-340-5917,ecaurahc
Rudolph,Oxbe,roxbed@yelp.com,Male,212.228.243.126,diners-club-enroute,Home,Books,Slovenia,Kostel,110-767-6083,roxbed
Stevana,Lyver,slyvere@hhs.gov,Female,122.80.106.234,maestro,Music,Books,Portugal,Campo,139-432-6836,slyvere
Abby,Frears,afrearsf@issuu.com,Female,16.68.65.218,mastercard,Home,Music,Philippines,San Marcelino,229-311-4126,afrearsf
Alene,Probbin,aprobbing@ezinearticles.com,Female,142.40.202.102,china-unionpay,Kids,Jewelery,Andorra,la Massana,927-287-6576,aprobbing
Aksel,Terrelly,aterrellyh@intel.com,Male,233.73.213.115,jcb,Jewelery,Outdoors,Philippines,Guihing Proper,355-232-2456,aterrellyh
Seana,McGillicuddy,smcgillicuddyi@marriott.com,Female,125.163.158.191,maestro,Outdoors,Grocery,Cameroon,Edéa,111-822-6374,smcgillicuddyi
Goldie,Hunday,ghundayj@telegraph.co.uk,Female,246.238.35.102,bankcard,Shoes,Tools,Brazil,Caeté,205-987-1981,ghundayj
Rowland,Algate,ralgatek@answers.com,Male,223.59.249.180,americanexpress,Automotive,Tools,Brazil,Ijuí,496-438-4281,ralgatek
Rand,Moralas,rmoralasl@dion.ne.jp,Male,67.6.167.65,jcb,Automotive,Beauty,Philippines,Peña,138-494-1079,rmoralasl
Gualterio,Meeke,gmeekem@paypal.com,Male,124.243.216.82,jcb,Industrial,Movies,China,Sihai,212-280-9982,gmeekem
Stormie,Gladbach,sgladbachn@usa.gov,Female,234.61.212.224,jcb,Industrial,Shoes,China,Xomong,363-364-6608,sgladbachn
Teresa,Dwerryhouse,tdwerryhouseo@aol.com,Female,38.203.225.182,jcb,Health,Shoes,Thailand,Samphanthawong,581-329-0301,tdwerryhouseo
Caspar,Cuffin,ccuffinp@fda.gov,Male,131.235.211.191,diners-club-carte-blanche,Garden,Garden,Indonesia,Banjar Banyualit,922-637-8966,ccuffinp
Haley,Swinburn,hswinburnq@flickr.com,Male,113.251.88.146,mastercard,Garden,Tools,Sweden,Norrahammar,935-132-9916,hswinburnq
Donnajean,Hawkeridge,dhawkeridger@ezinearticles.com,Female,146.180.65.7,diners-club-enroute,Baby,Shoes,Sweden,Eksjö,687-124-5910,dhawkeridger
Noami,Helder,nhelders@hc360.com,Female,8.42.116.3,jcb,Computers,Toys,Indonesia,Mataraben,226-120-9342,nhelders
Cathrin,Serrell,cserrellt@vimeo.com,Female,106.230.176.125,jcb,Toys,Automotive,Russia,Izvestkovyy,156-151-4870,cserrellt
Chane,Wanka,cwankau@bandcamp.com,Male,113.233.66.232,jcb,Music,Automotive,Peru,Pallanchacra,102-801-7719,cwankau
Art,Kyncl,akynclv@cisco.com,Male,65.15.163.151,jcb,Computers,Baby,Slovenia,Hrušica,445-336-7201,akynclv
Ollie,Philp,ophilpw@amazon.co.jp,Male,239.66.71.8,bankcard,Books,Outdoors,United States,Washington,202-754-5415,ophilpw
Nickolas,Body,nbodyx@booking.com,Male,95.241.100.155,mastercard,Electronics,Movies,Sweden,Sollefteå,446-602-8970,nbodyx
Scarface,Summerrell,ssummerrelly@tinypic.com,Male,201.53.186.194,china-unionpay,Books,Clothing,Japan,Tawaramoto,398-283-8320,ssummerrelly
Bald,Jervois,bjervoisz@chronoengine.com,Male,167.127.38.94,diners-club-international,Games,Books,Peru,Urpay,306-229-0742,bjervoisz
Vinnie,Cutbush,vcutbush10@msn.com,Male,58.46.74.96,jcb,Movies,Electronics,Ukraine,Vyshneve,239-789-7569,vcutbush10
Nanice,Wenger,nwenger11@buzzfeed.com,Female,205.2.155.230,jcb,Baby,Books,Ukraine,Pervomays’ke,818-734-1941,nwenger11
August,Lohering,alohering12@timesonline.co.uk,Male,56.84.249.235,maestro,Tools,Kids,Philippines,Sagana,189-924-3129,alohering12
Raina,Tryhorn,rtryhorn13@foxnews.com,Female,220.41.212.133,visa-electron,Grocery,Clothing,China,Chatou,174-766-7940,rtryhorn13
Derek,Murphey,dmurphey14@bbb.org,Male,75.43.243.103,jcb,Books,Baby,Colombia,Ciénega,731-865-8918,dmurphey14
Marcel,Shearmur,mshearmur15@google.nl,Male,221.160.32.14,maestro,Computers,Tools,Panama,Sabanitas,246-501-5043,mshearmur15
Sumner,De Clairmont,sdeclairmont16@hud.gov,Male,207.63.38.30,mastercard,Electronics,Sports,Indonesia,Pangkalan,678-288-7442,sdeclairmont16
Stevana,Coghill,scoghill17@harvard.edu,Female,255.47.213.64,mastercard,Jewelery,Home,Azerbaijan,Altıağac,639-298-4317,scoghill17
